Posicion,N_casos,Mediana,Q1,Q3,IQR,Min,Max,Media,Std
1,165,17.1374,2.0546,54.2404,52.1858,-13.5283,82.9175,26.2593,27.6007
2,165,23.425,1.2239,49.3022,48.0783,-15.7661,84.1404,26.1361,26.5419
3,165,32.6278,2.4277,57.4598,55.0321,-13.991,84.1404,31.3012,28.3155
4,165,19.606,1.6392,47.854,46.2148,-15.2374,82.9175,26.1628,27.3843
5,165,13.9029,-0.5878,46.4515,47.0392,-13.2007,78.8208,23.1264,27.4494
6,165,6.5151,-1.1967,39.844,41.0406,-15.8254,77.4884,17.5044,25.0488
7,165,2.4618,-3.1062,35.3844,38.4906,-18.2188,84.1404,16.0878,25.9717
8,165,1.6392,-5.8654,33.8421,39.7075,-20.7633,84.1404,12.8938,25.8095
9,165,3.3963,-5.8654,34.7082,40.5736,-22.6078,76.8029,14.3534,25.7863
10,165,0.9139,-5.7777,25.9985,31.7762,-22.6078,82.9175,11.7823,25.5368
11,165,0.9756,-4.847,24.7031,29.5501,-22.6078,76.3618,10.7362,23.1775
12,165,3.3556,-3.275,33.375,36.6499,-22.6078,78.8208,14.3497,25.4776
